50,100,150,199,50,99,149,199
50,100,149,198,50,100,149,197
50,100,149,197,50,100,149,198
51,100,149,198,50,100,149,198
50,100,150,201,50,100,150,201
50,100,151,202,51,100,151,202
51,100,151,202,51,100,152,201
50,100,151,201,50,100,151,199
50,102,150,200,49,102,150,199
50,101,150,200,50,101,149,199
50,101,149,199,50,101,149,199
50,100,150,200,50,100,149,200
50,99,151,201,50,99,150,201
50,99,150,202,50,99,150,202
50,100,150,200,50,99,150,201
51,99,151,199,51,99,151,199
51,101,150,197,51,100,151,198
50,101,151,198,50,101,151,197
50,101,149,199,50,100,150,198
49,100,149,201,50,101,149,201
50,100,149,202,50,100,149,203
50,100,148,202,50,100,149,201
49,99,150,199,49,99,150,200
49,101,150,199,49,101,150,199
49,101,151,199,49,100,150,199
50,101,151,199,50,101,150,199
51,100,152,200,50,100,151,200
50,99,152,201,50,99,152,200
50,100,150,202,50,99,150,202
51,100,149,201,51,100,150,201
50,100,149,199,50,99,149,199
50,100,149,198,50,100,149,198
50,100,150,197,50,100,150,199
51,100,150,198,50,100,150,199
50,100,150,201,50,100,150,201
50,100,151,203,51,100,151,202
50,100,150,201,51,100,151,202
49,100,151,200,50,100,150,200
50,102,150,199,50,102,150,199
49,101,150,199,50,101,149,199
50,101,150,199,50,101,149,199
50,100,149,200,50,100,149,199
50,99,149,201,50,99,150,201
50,99,149,202,50,99,150,202
50,100,150,201,50,100,150,201
50,99,150,199,50,100,150,199
51,100,151,198,51,100,151,198
50,101,151,198,50,101,151,197
50,100,150,199,50,100,150,198
50,100,150,201,50,101,149,201
51,99,149,202,50,99,149,203
50,100,149,201,50,100,149,202
50,99,151,200,50,99,150,201
49,101,150,199,49,101,150,199
49,101,150,199,49,100,150,199
50,101,151,199,50,101,151,199
50,100,151,200,50,100,150,200
50,100,151,201,50,100,151,201
50,99,150,202,50,99,150,202
51,100,149,201,51,100,149,201
50,99,149,199,50,99,150,200
50,100,149,198,50,100,149,199
50,100,149,197,50,100,149,198
50,100,150,198,50,100,149,198
50,100,150,201,50,100,150,200
50,100,150,203,50,100,151,202
51,100,151,202,51,100,151,202
50,100,151,200,50,100,151,200
50,102,149,199,50,102,151,199
50,101,149,199,50,101,149,199
50,101,149,199,50,101,150,199
50,100,150,199,50,100,149,199
51,99,151,200,50,99,150,200
50,99,150,202,50,99,150,202
